crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
89,90,179641471,179630689,10782,negative,-7307.238481879234,-0.0015092003137835,-461.50121601656247,-0.0123032569073018,0.0123032569073018,0.2296201708973325,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
90,91,179602723,179595316,7407,negative,-7332.221179187298,-0.0015145578415399,-450.7172966904154,-0.0144973898480871,0.0144973898480871,0.1917202756433797,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
91,92,3453943,3453942,1,positive,-1109.7590869623236,-0.0026345597181104,14.055027034946916,0.0620109815723074,0.0620109815723074,0.0687276505309807,True,True,True,False,True,0.0687276505309807,False,False,False,False,positive_harmless
92,93,1188839,1188838,1,positive,-670.0618604063056,-0.003140594332914,12.988487758598636,0.0663769136686477,0.0663769136686477,0.0717695715648134,True,True,True,False,True,0.0717695715648134,False,False,False,False,positive_harmless
93,94,618119,618118,1,positive,-491.93644172290806,-0.0035190353407954,12.334436274537484,0.0693697269600696,0.0693697269600696,0.0765541684740735,True,True,True,False,True,0.0765541684740735,False,False,False,False,positive_harmless
94,95,178011341,178005997,5344,negative,-7295.416052311659,-0.0015150948529914,-366.6962581891348,-0.0138991053900348,0.0138991053900348,0.1648839859416764,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
95,96,3438637,3438262,375,negative,-1082.3240649304353,-0.0025766613623666,-28.83790962671685,-0.0065741761860351,0.0065741761860351,0.0753076301542394,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
96,97,30981239,30980149,1090,negative,-3127.9592309333384,-0.0018888143238697,-175.80966234322875,-0.0178981055752952,0.0178981055752952,0.0903727573504991,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
97,98,33843191,33842396,795,negative,-3261.5937286168337,-0.0018652363413958,-188.19672853522707,-0.0222058889162005,0.0222058889162005,0.0761893412087709,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
98,99,4991101,4990677,357,negative,-1254.6231719730422,-0.0023608678020516,-17.691366021948568,-0.0039362269712099,0.0039362269712099,0.076175182058325,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
99,100,6421,6420,1,positive,-73.50954051980898,-0.0119345967754393,7.767329147794049,0.1010501788281202,0.1010501788281202,0.1159896775054861,True,True,True,False,True,0.1159896775054861,False,False,False,False,positive_harmless
100,101,1510643,1510642,1,positive,-752.3333388159517,-0.0030237011722859,13.228045945966745,0.0653439188591991,0.0653439188591991,0.070535407834942,True,True,True,False,True,0.070535407834942,False,False,False,False,positive_harmless
101,102,33477793,33476547,1246,negative,-3236.351541750133,-0.0018632063861546,-154.43846648475437,-0.0145740462550458,0.0145740462550458,0.096662723146914,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
102,103,33824779,33823778,1001,negative,-3261.466295160353,-0.0018657881583725,-12.808745615198404,-0.0013469655343771,0.0013469655343771,0.0986530057695944,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
103,104,30358319,30357034,1285,negative,-3096.57487077266,-0.0018934057855686,-165.14358633355937,-0.0155206935018589,0.0155206935018589,0.097634505621578,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
104,105,604432601,604410439,22162,negative,-13218.100960731506,-0.0013150473247603,-688.5913402072983,-0.0113136656271269,0.0113136656271269,0.2914811871626422,True,True,False,True,False,,True,True,False,False,negative_transferred_repaid
105,106,479,478,1,positive,-23.04287019193447,-0.0276413415878818,5.171700597410915,0.135776208151487,0.135776208151487,0.1648068982246287,True,True,True,False,True,0.1648068982246287,False,False,False,False,positive_harmless
106,107,231701,231700,1,positive,-323.1737499897717,-0.0043995976891408,11.35320302633692,0.0743976548454212,0.0743976548454212,0.0810551545684911,True,True,True,False,True,0.0810551545684911,False,False,False,False,positive_harmless
107,108,39634747,39633125,1622,negative,-3524.4391980171204,-0.0018289983903812,-169.89877765908955,-0.0137824420499271,0.0137824420499271,0.1078488246263689,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
108,109,33492847,33491912,935,negative,-3250.844730813056,-0.0018710325424757,-137.96589757999288,-0.0150288964557925,0.0150288964557925,0.0863386781827271,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
109,110,39655321,39654336,985,negative,-3523.7591404244304,-0.0018280625930801,-127.70959529037896,-0.0132935506548435,0.0132935506548435,0.0882379519127139,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
