rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
B_L2_exported,19,hexc_00086,87,109467389,109460158,7231,109467389,finite_negative,False,False,False,True,4.115813491290787,16.939920695091256,216.5692739450369,349.98938061919085,16.939920695091253,0.618788128833767,0.0120112853585843,0.0074324407919268,7.629671252521654e-05
B_L2_exported,20,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,3.893281737544136,15.157642687894686,188.65092151155025,347.6811764188016,15.157642687894905,0.5425974551015359,0.0127176592353945,0.0069005695359736,0.0001527009753997944
B_L2_exported,21,hexc_00063,64,604810421,604757400,53021,604810421,post_P0_negative_tail,True,False,False,False,1.4639642344415196,2.1431912797239443,157.97632240264647,337.096640212042,2.143191279724013,0.4686380804723297,0.0035805511433452,0.0016779826148503,7.342673518918377e-06
B_L2_exported,22,hexc_00127,128,187449539,187440181,9358,187449539,finite_negative,False,False,False,True,3.369238417105729,11.351767511301118,179.56893819121797,325.9291953335223,11.351767511301274,0.550944624667525,0.0092850972633347,0.0051155744267494,4.033259760632396e-05
B_L2_exported,23,hexc_00020,21,30847123,30831334,15789,30847123,finite_negative,False,False,False,True,2.507968798244117,6.289907492966041,225.3338417937175,315.13703274360233,6.289907492966134,0.7150344719309831,0.0084337008776589,0.0060303868534807,8.917534931222225e-05
B_L2_exported,24,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,4.938161259893362,24.385436628711595,209.64678474559517,306.2854464558407,24.38543662871164,0.684481705453216,0.0161300283803644,0.0110407093348006,0.0001517244341785868
B_L2_exported,25,hexc_00066,67,39699197,39695992,3205,39699197,finite_negative,False,False,False,True,5.402608236258764,29.188175754491038,147.75622177868354,305.8563442094084,29.188175754491137,0.4830902630468882,0.0176475393958707,0.0085253544488815,0.00018718654451846723
B_sq_over_h,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596955,73.62931311610929,18.50388997128084,30.93834304725165,73.62931311610959,0.598089236486277,0.0289054037503281,0.0172880108593613,9.861270095805126e-06
B_sq_over_h,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508629008,64.13704142037213,76.23714683878461,221.79520005948183,64.13704142037233,0.3437276677689109,0.0195894059694182,0.0067334208268465,8.378008990140035e-06
B_sq_over_h,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930436,59.29000543512884,71.15483103322367,213.80503780426838,59.29000543512922,0.3328024061732507,0.0188328980347233,0.0062676337811714,7.786089605810625e-06
B_sq_over_h,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.5172957888070675,56.50973597641647,55.15381198050545,132.99453883757167,56.50973597641648,0.4147073440952765,0.0219576117786852,0.0091059828634137,1.8522158874289518e-05
